date,matchday,group,home_team,away_team
2026-06-11,1,A,Mexico,South Africa
2026-06-11,1,A,South Korea,Czech Republic
2026-06-12,1,B,Canada,Bosnia and Herzegovina
2026-06-12,1,D,United States,Paraguay
2026-06-13,1,C,Haiti,Scotland
2026-06-13,1,D,Australia,Turkey
2026-06-13,1,C,Brazil,Morocco
2026-06-13,1,B,Qatar,Switzerland
2026-06-14,1,E,Ivory Coast,Ecuador
2026-06-14,1,E,Germany,Curaçao
2026-06-14,1,F,Netherlands,Japan
2026-06-14,1,F,Sweden,Tunisia
2026-06-15,1,H,Saudi Arabia,Uruguay
2026-06-15,1,H,Spain,Cape Verde
2026-06-15,1,G,Iran,New Zealand
2026-06-15,1,G,Belgium,Egypt
2026-06-16,1,I,France,Senegal
2026-06-16,1,I,Iraq,Norway
2026-06-16,1,J,Argentina,Algeria
2026-06-16,1,J,Austria,Jordan
2026-06-17,1,L,Ghana,Panama
2026-06-17,1,L,England,Croatia
2026-06-17,1,K,Portugal,DR Congo
2026-06-17,1,K,Uzbekistan,Colombia
2026-06-18,2,A,Czech Republic,South Africa
2026-06-18,2,B,Switzerland,Bosnia and Herzegovina
2026-06-18,2,B,Canada,Qatar
2026-06-18,2,A,Mexico,South Korea
2026-06-19,2,C,Brazil,Haiti
2026-06-19,2,C,Scotland,Morocco
2026-06-19,2,D,Turkey,Paraguay
2026-06-19,2,D,United States,Australia
2026-06-20,2,E,Germany,Ivory Coast
2026-06-20,2,E,Ecuador,Curaçao
2026-06-20,2,F,Netherlands,Sweden
2026-06-20,2,F,Tunisia,Japan
2026-06-21,2,H,Uruguay,Cape Verde
2026-06-21,2,H,Spain,Saudi Arabia
2026-06-21,2,G,Belgium,Iran
2026-06-21,2,G,New Zealand,Egypt
2026-06-22,2,I,Norway,Senegal
2026-06-22,2,I,France,Iraq
2026-06-22,2,J,Argentina,Austria
2026-06-22,2,J,Jordan,Algeria
2026-06-23,2,L,England,Ghana
2026-06-23,2,L,Panama,Croatia
2026-06-23,2,K,Portugal,Uzbekistan
2026-06-23,2,K,Colombia,DR Congo
2026-06-24,3,C,Scotland,Brazil
2026-06-24,3,C,Morocco,Haiti
2026-06-24,3,B,Switzerland,Canada
2026-06-24,3,B,Bosnia and Herzegovina,Qatar
2026-06-24,3,A,Czech Republic,Mexico
2026-06-24,3,A,South Africa,South Korea
2026-06-25,3,E,Curaçao,Ivory Coast
2026-06-25,3,E,Ecuador,Germany
2026-06-25,3,F,Japan,Sweden
2026-06-25,3,F,Tunisia,Netherlands
2026-06-25,3,D,Turkey,United States
2026-06-25,3,D,Paraguay,Australia
2026-06-26,3,I,Norway,France
2026-06-26,3,I,Senegal,Iraq
2026-06-26,3,G,Egypt,Iran
2026-06-26,3,G,New Zealand,Belgium
2026-06-26,3,H,Cape Verde,Saudi Arabia
2026-06-26,3,H,Uruguay,Spain
2026-06-27,3,L,Panama,England
2026-06-27,3,L,Croatia,Ghana
2026-06-27,3,J,Algeria,Austria
2026-06-27,3,J,Jordan,Argentina
2026-06-27,3,K,Colombia,Portugal
2026-06-27,3,K,DR Congo,Uzbekistan
